date,wp5,train,u,v,ws,wd
2009-07-01 00:00:00,0.494,1.0,3.51,-2.43,4.27,124.75
2009-07-01 01:00:00,0.257,1.0,3.51,-2.43,4.27,124.75
2009-07-01 02:00:00,0.17800000000000002,1.0,2.96,-2.12,3.65,125.63
2009-07-01 03:00:00,0.109,1.0,2.47,-2.02,3.19,129.29
2009-07-01 04:00:00,0.079,1.0,2.05,-2.06,2.9,135.14
2009-07-01 05:00:00,0.099,1.0,1.72,-2.11,2.72,140.85
2009-07-01 06:00:00,0.069,1.0,1.53,-2.07,2.57,143.52
2009-07-01 07:00:00,0.0,1.0,1.49,-1.86,2.38,141.17
2009-07-01 08:00:00,0.0,1.0,1.55,-1.62,2.24,136.2
2009-07-01 09:00:00,0.0,1.0,1.63,-1.55,2.25,133.67
2009-07-01 10:00:00,0.0,1.0,1.65,-1.78,2.43,137.08
2009-07-01 11:00:00,0.0,1.0,1.63,-2.1,2.66,142.1
2009-07-01 12:00:00,0.0,1.0,1.58,-2.24,2.74,144.79
2009-07-01 13:00:00,0.0,1.0,1.88,-1.75,2.57,133.0
2009-07-01 14:00:00,0.0,1.0,2.2,-1.57,2.7,125.58
2009-07-01 15:00:00,0.0,1.0,2.31,-1.5,2.75,122.93
2009-07-01 16:00:00,0.0,1.0,2.26,-1.49,2.71,123.33
2009-07-01 17:00:00,0.0,1.0,2.15,-1.5,2.62,124.92
2009-07-01 18:00:00,0.0,1.0,2.05,-1.47,2.53,125.58
2009-07-01 19:00:00,0.0,1.0,2.04,-1.37,2.45,123.89
2009-07-01 20:00:00,0.0,1.0,2.03,-1.31,2.42,122.82
2009-07-01 21:00:00,0.0,1.0,1.95,-1.45,2.43,126.58
2009-07-01 22:00:00,0.0,1.0,1.71,-1.85,2.52,137.32
2009-07-01 23:00:00,0.0,1.0,1.29,-2.32,2.65,150.95
2009-07-02 00:00:00,0.0,1.0,0.67,-2.55,2.64,165.27
2009-07-02 01:00:00,0.01,1.0,1.01,-1.73,2.01,149.66
2009-07-02 02:00:00,0.02,1.0,0.72,-1.6,1.76,155.87
2009-07-02 03:00:00,0.02,1.0,0.52,-1.36,1.46,158.95
2009-07-02 04:00:00,0.0,1.0,0.44,-1.08,1.16,158.03
2009-07-02 05:00:00,0.0,1.0,0.48,-0.86,0.98,150.93
2009-07-02 06:00:00,0.0,1.0,0.68,-0.81,1.06,139.94
2009-07-02 07:00:00,0.0,1.0,1.05,-1.0,1.45,133.68
2009-07-02 08:00:00,0.0,1.0,1.46,-1.34,1.98,132.36
2009-07-02 09:00:00,0.02,1.0,1.8,-1.69,2.47,133.13
2009-07-02 10:00:00,0.049,1.0,1.95,-1.95,2.76,135.11
2009-07-02 11:00:00,0.04,1.0,1.92,-2.19,2.91,138.64
2009-07-02 12:00:00,0.059000000000000004,1.0,1.79,-2.47,3.05,144.07
2009-07-02 13:00:00,0.079,1.0,0.94,-3.62,3.74,165.39
2009-07-02 14:00:00,0.079,1.0,1.32,-3.65,3.88,160.14
2009-07-02 15:00:00,0.099,1.0,1.96,-3.39,3.91,150.03
2009-07-02 16:00:00,0.099,1.0,2.74,-2.96,4.03,137.24
2009-07-02 17:00:00,0.099,1.0,3.53,-2.53,4.35,125.69
2009-07-02 18:00:00,0.099,1.0,4.18,-2.29,4.76,118.69
2009-07-02 19:00:00,0.17800000000000002,1.0,4.57,-2.34,5.13,117.12
2009-07-02 20:00:00,0.247,1.0,4.72,-2.61,5.39,118.93
2009-07-02 21:00:00,0.17800000000000002,1.0,4.67,-2.95,5.52,122.23
2009-07-02 22:00:00,0.237,1.0,4.47,-3.23,5.52,125.79
2009-07-02 23:00:00,0.366,1.0,4.16,-3.39,5.37,129.12
2009-07-03 00:00:00,0.415,1.0,3.78,-3.39,5.08,131.85
2009-07-03 01:00:00,0.267,1.0,4.27,-3.3,5.4,127.64
2009-07-03 02:00:00,0.138,1.0,3.89,-3.08,4.96,128.33
2009-07-03 03:00:00,0.128,1.0,3.62,-3.18,4.82,131.25
2009-07-03 04:00:00,0.17800000000000002,1.0,3.45,-3.46,4.88,135.1
2009-07-03 05:00:00,0.267,1.0,3.33,-3.71,4.99,138.04
2009-07-03 06:00:00,0.22699999999999998,1.0,3.25,-3.7,4.93,138.65
2009-07-03 07:00:00,0.20800000000000002,1.0,3.19,-3.29,4.58,135.87
2009-07-03 08:00:00,0.17800000000000002,1.0,3.19,-2.73,4.2,130.57
2009-07-03 09:00:00,0.158,1.0,3.31,-2.36,4.07,125.54
2009-07-03 10:00:00,0.168,1.0,3.59,-2.45,4.34,124.3
2009-07-03 11:00:00,0.138,1.0,3.92,-2.87,4.86,126.2
2009-07-03 12:00:00,0.099,1.0,4.18,-3.43,5.4,129.39
2009-07-03 13:00:00,0.14800000000000002,1.0,4.33,-4.51,6.25,136.17
2009-07-03 14:00:00,0.168,1.0,4.59,-4.72,6.59,135.81
2009-07-03 15:00:00,0.267,1.0,4.6,-4.66,6.55,135.34
2009-07-03 16:00:00,0.336,1.0,4.45,-4.4,6.26,134.66
2009-07-03 17:00:00,0.237,1.0,4.31,-4.07,5.93,133.35
2009-07-03 18:00:00,0.099,1.0,4.38,-3.81,5.81,130.99
2009-07-03 19:00:00,0.128,1.0,4.75,-3.7,6.02,127.89
2009-07-03 20:00:00,0.188,1.0,5.13,-3.69,6.32,125.7
2009-07-03 21:00:00,0.188,1.0,5.14,-3.69,6.33,125.67
2009-07-03 22:00:00,0.049,1.0,4.53,-3.62,5.8,128.65
2009-07-03 23:00:00,0.049,1.0,3.58,-3.44,4.96,133.83
2009-07-04 00:00:00,0.14800000000000002,1.0,2.73,-3.11,4.13,138.72
2009-07-04 01:00:00,0.079,1.0,3.07,-3.16,4.4,135.8
2009-07-04 02:00:00,0.08900000000000001,1.0,2.74,-2.83,3.94,135.97
2009-07-04 03:00:00,0.168,1.0,2.47,-2.66,3.63,137.14
2009-07-04 04:00:00,0.14800000000000002,1.0,2.26,-2.6,3.44,138.97
2009-07-04 05:00:00,0.04,1.0,2.09,-2.56,3.3,140.78
2009-07-04 06:00:00,0.059000000000000004,1.0,1.92,-2.45,3.11,141.89
2009-07-04 07:00:00,0.326,1.0,1.75,-2.22,2.83,141.71
2009-07-04 08:00:00,0.34600000000000003,1.0,1.66,-1.99,2.59,140.22
2009-07-04 09:00:00,0.455,1.0,1.73,-1.92,2.59,138.02
2009-07-04 10:00:00,0.257,1.0,2.01,-2.12,2.92,136.45
2009-07-04 11:00:00,0.247,1.0,2.36,-2.45,3.41,136.1
2009-07-04 12:00:00,0.049,1.0,2.59,-2.77,3.79,136.86
2009-07-04 13:00:00,0.0,1.0,1.83,-3.49,3.94,152.34
2009-07-04 14:00:00,0.0,1.0,1.8,-3.55,3.98,153.07
2009-07-04 15:00:00,0.01,1.0,1.89,-3.37,3.86,150.65
2009-07-04 16:00:00,0.03,1.0,2.04,-3.02,3.65,145.97
2009-07-04 17:00:00,0.059000000000000004,1.0,2.2,-2.68,3.47,140.52
2009-07-04 18:00:00,0.08900000000000001,1.0,2.34,-2.5,3.42,136.88
2009-07-04 19:00:00,0.109,1.0,2.39,-2.57,3.51,137.09
2009-07-04 20:00:00,0.11900000000000001,1.0,2.23,-2.59,3.42,139.27
2009-07-04 21:00:00,0.099,1.0,1.72,-2.17,2.77,141.46
2009-07-04 22:00:00,0.08900000000000001,1.0,0.8,-1.04,1.31,142.54
2009-07-04 23:00:00,0.069,1.0,-0.3,0.38,0.48,321.76
2009-07-05 00:00:00,0.079,1.0,-1.25,1.55,1.99,321.19
2009-07-05 01:00:00,0.059000000000000004,1.0,-0.36,1.4,1.45,345.45
2009-07-05 02:00:00,0.059000000000000004,1.0,-0.33,1.91,1.94,350.16
2009-07-05 03:00:00,0.069,1.0,-0.01,2.18,2.18,359.73
2009-07-05 04:00:00,0.049,1.0,0.5,2.23,2.28,12.71
2009-07-05 05:00:00,0.0,1.0,1.08,2.08,2.35,27.4
2009-07-05 06:00:00,0.0,1.0,1.6,1.77,2.38,42.01
2009-07-05 07:00:00,0.0,1.0,1.95,1.33,2.36,55.76
2009-07-05 08:00:00,0.0,1.0,2.16,0.86,2.32,68.2
2009-07-05 09:00:00,0.0,1.0,2.27,0.52,2.33,77.18
2009-07-05 10:00:00,0.0,1.0,2.33,0.38,2.37,80.78
2009-07-05 11:00:00,0.0,1.0,2.34,0.36,2.37,81.25
2009-07-05 12:00:00,0.0,1.0,2.28,0.33,2.31,81.79
2009-07-05 13:00:00,0.0,1.0,2.3,0.45,2.35,78.85
2009-07-05 14:00:00,0.0,1.0,2.16,0.09,2.16,87.55
2009-07-05 15:00:00,0.0,1.0,1.98,-0.12,1.99,93.38
2009-07-05 16:00:00,0.02,1.0,1.81,-0.18,1.82,95.82
2009-07-05 17:00:00,0.069,1.0,1.66,-0.11,1.66,93.93
2009-07-05 18:00:00,0.099,1.0,1.58,0.09,1.58,86.81
2009-07-05 19:00:00,0.138,1.0,1.59,0.41,1.64,75.46
2009-07-05 20:00:00,0.168,1.0,1.69,0.83,1.88,63.76
2009-07-05 21:00:00,0.168,1.0,1.87,1.32,2.29,54.78
2009-07-05 22:00:00,0.128,1.0,2.09,1.79,2.75,49.46
2009-07-05 23:00:00,0.11900000000000001,1.0,2.2,1.93,2.93,48.86
2009-07-06 00:00:00,0.11900000000000001,1.0,2.03,1.36,2.45,56.16
2009-07-06 01:00:00,0.158,1.0,0.41,-0.68,0.8,149.07
2009-07-06 02:00:00,0.168,1.0,-0.4,-1.71,1.76,192.98
2009-07-06 03:00:00,0.11900000000000001,1.0,-0.52,-1.82,1.9,195.99
2009-07-06 04:00:00,0.128,1.0,-0.16,-1.32,1.33,187.04
2009-07-06 05:00:00,0.257,1.0,0.46,-0.64,0.79,144.31
2009-07-06 06:00:00,0.079,1.0,1.13,-0.25,1.16,102.62
2009-07-06 07:00:00,0.03,1.0,1.64,-0.46,1.7,105.6
2009-07-06 08:00:00,0.03,1.0,1.95,-0.96,2.17,116.26
2009-07-06 09:00:00,0.049,1.0,2.03,-1.31,2.41,122.82
2009-07-06 10:00:00,0.11900000000000001,1.0,1.91,-1.17,2.24,121.47
2009-07-06 11:00:00,0.069,1.0,1.82,-0.7,1.95,111.18
2009-07-06 12:00:00,0.128,1.0,2.03,-0.2,2.04,95.63
2009-07-06 13:00:00,0.049,1.0,3.77,-1.6,4.09,113.03
2009-07-06 14:00:00,0.069,1.0,4.15,-1.76,4.5,112.96
2009-07-06 15:00:00,0.326,1.0,4.59,-1.99,5.0,113.37
2009-07-06 16:00:00,0.405,1.0,5.05,-2.24,5.53,113.86
2009-07-06 17:00:00,0.366,1.0,5.47,-2.46,6.0,114.19
2009-07-06 18:00:00,0.316,1.0,5.8,-2.61,6.36,114.21
2009-07-06 19:00:00,0.247,1.0,5.97,-2.63,6.52,113.77
2009-07-06 20:00:00,0.217,1.0,5.91,-2.45,6.4,112.52
2009-07-06 21:00:00,0.27699999999999997,1.0,5.55,-2.0,5.9,109.78
2009-07-06 22:00:00,0.128,1.0,4.83,-1.29,5.0,104.91
2009-07-06 23:00:00,0.059000000000000004,1.0,3.86,-0.77,3.94,101.22
2009-07-07 00:00:00,0.03,1.0,2.79,-0.98,2.96,109.4
2009-07-07 01:00:00,0.0,1.0,2.36,-2.36,3.34,134.94
2009-07-07 02:00:00,0.02,1.0,1.06,-3.34,3.51,162.37
2009-07-07 03:00:00,0.336,1.0,0.17,-3.62,3.63,177.26
2009-07-07 04:00:00,0.395,1.0,-0.34,-3.4,3.42,185.74
2009-07-07 05:00:00,0.237,1.0,-0.51,-2.9,2.94,190.01
2009-07-07 06:00:00,0.069,1.0,-0.36,-2.34,2.37,188.8
2009-07-07 07:00:00,0.0,1.0,0.07,-1.92,1.92,177.93
2009-07-07 08:00:00,0.02,1.0,0.7,-1.76,1.9,158.46
2009-07-07 09:00:00,0.158,1.0,1.42,-1.97,2.42,144.17
2009-07-07 10:00:00,0.099,1.0,2.14,-2.56,3.34,140.01
2009-07-07 11:00:00,0.08900000000000001,1.0,2.8,-3.29,4.32,139.63
2009-07-07 12:00:00,0.099,1.0,3.32,-3.87,5.1,139.33
2009-07-07 13:00:00,0.198,1.0,4.39,-3.71,5.75,130.23
2009-07-07 14:00:00,0.34600000000000003,1.0,4.93,-3.89,6.28,128.32
2009-07-07 15:00:00,0.29600000000000004,1.0,5.36,-4.11,6.75,127.51
2009-07-07 16:00:00,0.35600000000000004,1.0,5.63,-4.35,7.12,127.7
2009-07-07 17:00:00,0.326,1.0,5.69,-4.62,7.33,129.09
2009-07-07 18:00:00,0.425,1.0,5.45,-4.92,7.34,132.06
2009-07-07 19:00:00,0.5429999999999999,1.0,4.88,-5.24,7.16,137.02
2009-07-07 20:00:00,0.504,1.0,4.02,-5.48,6.79,143.76
2009-07-07 21:00:00,0.306,1.0,2.92,-5.52,6.25,152.13
2009-07-07 22:00:00,0.20800000000000002,1.0,1.67,-5.28,5.54,162.42
2009-07-07 23:00:00,0.188,1.0,0.41,-4.82,4.84,175.14
2009-07-08 00:00:00,0.08900000000000001,1.0,-0.73,-4.23,4.29,189.75
2009-07-08 01:00:00,0.04,1.0,1.33,-3.34,3.59,158.24
2009-07-08 02:00:00,0.03,1.0,1.23,-2.95,3.2,157.35
2009-07-08 03:00:00,0.01,1.0,0.75,-2.7,2.8,164.5
2009-07-08 04:00:00,0.0,1.0,0.06,-2.56,2.56,178.7
2009-07-08 05:00:00,0.0,1.0,-0.6,-2.51,2.58,193.49
2009-07-08 06:00:00,0.0,1.0,-0.97,-2.52,2.7,201.08
2009-07-08 07:00:00,0.04,1.0,-0.88,-2.59,2.73,198.81
2009-07-08 08:00:00,0.079,1.0,-0.48,-2.68,2.72,190.18
2009-07-08 09:00:00,0.049,1.0,-0.01,-2.77,2.77,180.16
2009-07-08 10:00:00,0.04,1.0,0.34,-2.86,2.88,173.14
2009-07-08 11:00:00,0.08900000000000001,1.0,0.55,-2.96,3.01,169.38
2009-07-08 12:00:00,0.079,1.0,0.64,-3.08,3.14,168.17
2009-07-08 13:00:00,0.01,1.0,1.49,-3.1,3.44,154.24
2009-07-08 14:00:00,0.0,1.0,1.7,-3.17,3.59,151.79
2009-07-08 15:00:00,0.0,1.0,1.48,-3.35,3.66,156.13
2009-07-08 16:00:00,0.0,1.0,0.97,-3.59,3.72,164.88
2009-07-08 17:00:00,0.0,1.0,0.32,-3.82,3.84,175.15
2009-07-08 18:00:00,0.02,1.0,-0.29,-3.96,3.97,184.18
2009-07-08 19:00:00,0.04,1.0,-0.74,-3.95,4.02,190.67
2009-07-08 20:00:00,0.059000000000000004,1.0,-1.07,-3.87,4.02,195.48
2009-07-08 21:00:00,0.03,1.0,-1.35,-3.83,4.06,199.35
2009-07-08 22:00:00,0.02,1.0,-1.61,-3.89,4.21,202.5
2009-07-08 23:00:00,0.02,1.0,-1.8,-3.9,4.29,204.82
2009-07-09 00:00:00,0.0,1.0,-1.83,-3.66,4.1,206.54
2009-07-09 01:00:00,0.0,1.0,-1.81,-1.13,2.13,237.98
2009-07-09 02:00:00,0.0,1.0,-1.87,-1.05,2.15,240.84
2009-07-09 03:00:00,0.0,1.0,-1.85,-1.11,2.16,239.06
